ID,Date,Total Loss
320,2/21/2016 0:00,60000
321,5/2/2008 0:00,6200
322,2/21/2009 0:00,36000
323,5/31/2016 0:00,15000
324,8/16/2010 0:00,36500
325,9/17/2016 0:00,21000
326,4/9/2008 0:00,75180
327,10/21/2010 0:00,8300
328,5/8/2010 0:00,0
329,4/4/2016 0:00,6850
330,1/10/2010 0:00,70500
331,4/27/2016 0:00,4000
332,11/13/2015 0:00,18500
333,6/30/2012 0:00,23500
334,12/11/2007 0:00,0
335,5/25/2013 0:00,1800
336,8/3/2011 0:00,400
337,12/6/2015 0:00,63650
338,9/28/2010 0:00,0
339,1/7/2005 0:00,31500
340,11/18/2007 0:00,4000
341,1/3/2006 0:00,0
342,4/12/2013 0:00,0
343,8/12/2012 0:00,24280
344,1/25/2013 0:00,40000
345,5/16/2007 0:00,11000
346,9/25/2005 0:00,2100
347,1/26/2006 0:00,0
348,11/3/2014 0:00,56275
349,8/13/2005 0:00,2300
350,2/5/2007 0:00,9000
351,11/20/2012 0:00,5000
352,5/5/2013 0:00,3500
353,1/2/2013 0:00,0
354,2/18/2011 0:00,150
355,5/30/2005 0:00,100
356,10/5/2014 0:00,8000
357,12/3/2010 0:00,11000
358,6/28/2007 0:00,5500
359,9/5/2005 0:00,0
360,10/6/2007 0:00,0
361,3/13/2011 0:00,15800
362,9/18/2009 0:00,7300
363,11/10/2010 0:00,52020
364,12/26/2016 0:00,10000
365,11/22/2006 0:00,2000
366,6/21/2011 0:00,0
367,8/10/2007 0:00,17000
368,1/18/2016 0:00,2000
369,11/17/2014 0:00,1500
370,12/14/2005 0:00,4050
371,2/14/2013 0:00,0
372,6/27/2014 0:00,18000
373,7/18/2008 0:00,1500
374,3/20/2007 0:00,7000
375,8/5/2016 0:00,25
376,9/24/2012 0:00,5500
377,4/28/2009 0:00,0
378,2/26/2008 0:00,400
379,1/29/2011 0:00,0
380,12/9/2013 0:00,14100
381,5/12/2009 0:00,11000
382,3/16/2009 0:00,13900
383,6/23/2016 0:00,0
384,11/14/2009 0:00,127000
385,6/13/2014 0:00,100
386,3/15/2016 0:00,0
387,10/24/2008 0:00,22500
388,9/21/2014 0:00,40500
389,2/22/2010 0:00,24300
390,9/22/2007 0:00,4110
391,10/2/2009 0:00,0
392,5/1/2014 0:00,34000
393,12/30/2014 0:00,4550
394,12/31/2007 0:00,2505
395,4/9/2015 0:00,60000
396,6/24/2009 0:00,550
397,10/1/2016 0:00,1000
398,10/9/2005 0:00,106200
399,10/4/2013 0:00,56100
400,2/19/2012 0:00,2000
401,11/6/2012 0:00,13200
402,3/29/2008 0:00,76650
403,8/9/2014 0:00,33100
404,9/11/2013 0:00,15200
405,3/13/2012 0:00,25000
406,4/16/2011 0:00,39000
407,10/21/2016 0:00,0
408,6/11/2010 0:00,0
409,2/1/2009 0:00,157830
410,7/17/2014 0:00,2850
411,3/6/2008 0:00,0
412,6/14/2015 0:00,58700
413,5/9/2011 0:00,18000
414,5/22/2015 0:00,41350
415,12/17/2015 0:00,20000
416,11/13/2016 0:00,58700
417,8/6/2009 0:00,59000
418,1/9/2009 0:00,1200
419,7/4/2010 0:00,13600
420,12/7/2009 0:00,139400
421,4/18/2016 0:00,0
422,1/14/2008 0:00,20000
423,2/11/2015 0:00,41550
424,8/29/2009 0:00,500
425,10/12/2010 0:00,1000
426,9/19/2010 0:00,7400
427,3/6/2015 0:00,38800
428,3/14/2005 0:00,5400
429,5/6/2006 0:00,200
430,7/22/2006 0:00,0
431,4/11/2012 0:00,0
432,6/3/2013 0:00,4100
433,4/13/2006 0:00,9465
434,5/4/2012 0:00,23900
435,6/26/2013 0:00,0
436,2/19/2005 0:00,4850
437,8/14/2006 0:00,3000
438,8/5/2015 0:00,3000
439,12/20/2013 0:00,128150
440,1/6/2011 0:00,5
441,11/11/2011 0:00,4000
442,7/1/2005 0:00,1500
443,6/9/2016 0:00,16000
444,9/2/2007 0:00,7000
445,10/8/2012 0:00,57500
446,4/19/2009 0:00,2200
447,3/17/2010 0:00,200
448,3/26/2010 0:00,86000
449,9/22/2015 0:00,33750
450,7/13/2016 0:00,0
451,6/14/2008 0:00,0
452,10/25/2014 0:00,15200
453,2/16/2007 0:00,12000
454,9/15/2011 0:00,0
455,10/1/2008 0:00,2300
456,1/9/2016 0:00,0
457,3/10/2006 0:00,19600
458,6/17/2013 0:00,2250
459,4/8/2014 0:00,5000
460,10/1/2015 0:00,30800
